Listado actualizado a la fecha 12-10-2025 08:58:50 pm,,,
ARTICULO,CODIGO,STOCK,PRECIO
Arcor Duo Leche Blanco 95g,7790580133795,9,2800
Arcor Durazno,7790580142766,19,500
Arcor Fideos Moñito 500G,7790580134822,3,2100
Arcor frutilla ananà banana,7790580143824,1,300
Arcor Leche y Mani,7790580102852,3,3500
ARCOR LIMONADA 15gr,7790580143527,5,400
Arcor Manzana RD 1L,7790580144142,16,300
ARCOR MERMELADA NARANJA 390GR,7790580132262,1,3100
ARCOR Mermelada de Naranja 454gr,7790580132194,13,3100
ARCOR MILK 20G,7790580144227,-19,500
Arcor Milka 12g,77977991,-14,500
ARCOR MOGUL OSITOS 30G,7790580199913,3,700
Arcor Multifruta 1L,7790580142490,13,500
ARCOR NARANJA,7790580143237,10,350
Arcor Naranja Banana,7790580141509,0,350
ARCOR NARANJA DURAZNO,7790580141943,2,350
arcor plaito dulce de leche,7790580130732,14,2500
Arcor Purè de Tomate,7790580146115,-10,1000
ARCOR ROCKLETS PALITO 51G 60CC,7790580524104,-3,3800
Arcor ROOKLETS 250GR,7790580139599,16,7000
"Arcor seleccion BOMBOBES EN CASA 228,6g",7790580131388,-2,9800
ARCOR slice de frutilla 70gr,7790580024901,11,2000
Arcor TWIT,7790580132712,8,500
Ariel Pouch Limp x 800ML,7500435215336,1,3700
ARITOS FRUTALES 130gr,7794571000721,1,1000
ARITOS FRUTALES GRANIX 130 GRS,7790045826965,18,1600
ARROZ MOCOVI NO SE PASA NI SE PEGA 900gr,7794580003157,14,2900
ARROZ 53 largo fino 500g,7791120032561,6,1200
ARROZ AMANDA LARGO FINO 500G,7792710001578,21,1900
ARROZ CELADOR 1KL,7798154590210,-64,1700
Arroz Celador 7798154590081,7798154590074,0,0
Arroz Celador Largo Fino 0000,7798154590081,129,700
arroz dos chino,7792808002593,3,1200
arroz Dos Chinos,7792808002609,-17,2000
arroz la española,7798066030507,-9,2200
Arroz Largo Fino Don Marcos X1Kg,7790847060567,-342,2000
Arroz Largo Fino Don Marcos X500G,7790847060574,-213,900
Arroz Largo Fino Primor 1 Kg,7794870001344,6,2000
Arroz Mocovi Doble Carolina 1kg,7794580003065,13,2200
Arroz Mocovi Largo Fino 500 gr,7794580003041,4,1000
